No,英語,日本語,単元
1616,somewhere,どこかに［へ/で］,Unit１７
1617,gradually,徐々に/だんだんと,Unit１７
1618,simply,単に,Unit１７
1619,indeed,確かに/本当に,Unit１７
1620,whether,…かどうか,Unit１７
1621,also,その上,Unit１７
1622,moreover,その上/さらに,Unit１７
1623,besides,その上,Unit１７
1624,though,でも/だけど,Unit１７
1625,however,しかしながら,Unit１７
1626,although,…だけれども/…にもかかわらず,Unit１７
1627,TRUE,本当の/真実の,Unit１７
1628,because,なぜなら/…なので,Unit１７
1629,therefore,したがって/それゆえ,Unit１７
1630,anyway,いずれにせよ,Unit１７
1631,bring about,〜を引き起こす/もたらす,Unit１７
1632,catch up (with),追いつく,Unit１７
1633,check out,〜を調べる,Unit１７
1634,deal with,〜に対処する/処理する,Unit１７
1635,end up (-ing),最終的には…することになる,Unit１７
1636,figure out,〜を理解する/解決する,Unit１７
1637,fill in,〜に記入する,Unit１７
1638,get rid of,〜を処分する/取り除く,Unit１７
1639,have A in common (with B),（Bと）共通のAを持つ,Unit１７
1640,keep up with,〜に（遅れずに）ついて行く,Unit１７
1641,look to A (for B),Aに（Bを）期待する/当てにする,Unit１７
1642,make sense,意味をなす/理解しやすい,Unit１７
1643,make sure,…を確かめる,Unit１７
1644,make up for,〜の埋め合わせをする/〜を償う,Unit１７
1645,make up one’s mind,決心する,Unit１７
1646,never fail to,必ず…する,Unit１７
1647,result in,〜という結果になる,Unit１７
1648,set off (for),出発する,Unit１７
1649,set out to,…し始める/…しようと試みる,Unit１７
1650,set up,〜を始める/設立する,Unit１７
1651,stay up,（寝ないで）起きている,Unit１７
1652,take advantage of,〜を利用する,Unit１７
1653,take in,〜をだます,Unit１７
1654,take over,〜を引き継ぐ,Unit１７
1655,turn down,〜を拒む/断る,Unit１７
1656,according to,〜によれば,Unit１７
1657,at [from] a distance,離れた所に［から］,Unit１７
1658,by means of,〜によって/〜を用いて,Unit１７
1659,for a moment,少しの間,Unit１７
1660,in a [one] sense,ある意味では,Unit１７
1661,in case of,〜の場合は,Unit１７
1662,in contrast to [with],〜とは対照的に,Unit１７
1663,in one’s opinion [view],〜の考え［意見］では,Unit１７
1664,in terms of,〜の観点から,Unit１７
1665,instead of,〜の代わりに/〜ではなくて,Unit１７
1666,next to,〜の隣に,Unit１７
1667,no more than,わずか〜/たった〜,Unit１７
1668,nothing but,ただ〜だけ,Unit１７
1669,out of order,故障して/調子が悪い,Unit１７
1670,regardless of,〜に関係なく/かまわず,Unit１７
1671,to make matters worse,さらに悪いことに,Unit１７
1672,with ease,容易に,Unit１７
1673,a variety of,いろいろな,Unit１７
1674,as ~ as possible [one can],できるだけ,Unit１７
1675,as if [though],…であるかのように,Unit１７
1676,by the time,…するまでに,Unit１７
1677,even if,たとえ…だとしても,Unit１７
1678,now (that),今や…だから,Unit１７
1679,the moment [minute],…するとすぐに,Unit１７
1680,by the way,ところで/それはそうと,Unit１７
1681,as for,〜については/〜はどうかと言えば,Unit１７
1682,in general,一般に/概して,Unit１７
1683,on the whole,全体的に見て,Unit１７
1684,for example [instance],例えば,Unit１７
1685,in particular,特に/とりわけ,Unit１７
1686,that is (to say),すなわち/より正確に言えば,Unit１７
1687,in other words,言い換えると/つまり,Unit１７
1688,to begin [start] with,まず第一に,Unit１７
1689,in the first place,まず第一に,Unit１７
1690,in addition,その上/さらに,Unit１７
1691,A as well as B,BだけでなくAも,Unit１７
1692,on the other hand,他方では,Unit１７
1693,in spite of,〜にもかかわらず,Unit１７
1694,because of,〜のために/〜が原因で,Unit１７
1695,on account of,〜のために/〜が原因で,Unit１７
1696,due to,〜のために/〜が原因で,Unit１７
1697,thanks to,〜のおかげで,Unit１７
1698,as a result,結果として,Unit１７
1699,in any case [event],いずれにしても,Unit１７
1700,in short,要約すると/手短にいうと,Unit１７
